resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.254e+01      1.804e+01      3.036e+01      4.123e+01      4.828e+01      5.909e+01      7.194e+01      8.048e+01      
1.000e-03      1.138e+01      1.811e+01      3.041e+01      4.125e+01      4.820e+01      5.649e+01      6.663e+01      8.045e+01      
2.000e-03      1.138e+01      1.807e+01      3.038e+01      4.123e+01      4.892e+01      5.908e+01      6.675e+01      7.566e+01      
5.000e-03      6.342e+00      1.814e+01      3.038e+01      4.124e+01      4.826e+01      5.908e+01      7.064e+01      7.578e+01      
8.000e-03      6.183e+00      1.814e+01      3.038e+01      4.124e+01      4.821e+01      5.909e+01      7.195e+01      7.903e+01      
1.000e-02      6.050e+00      1.812e+01      3.038e+01      4.125e+01      4.821e+01      5.909e+01      7.189e+01      8.031e+01      
1.200e-02      6.156e+00      1.814e+01      3.038e+01      4.125e+01      4.821e+01      5.909e+01      7.192e+01      8.050e+01      
1.500e-02      6.183e+00      1.783e+01      3.037e+01      4.126e+01      4.821e+01      5.910e+01      7.192e+01      8.045e+01      
2.000e-02      1.152e+01      1.765e+01      3.039e+01      4.130e+01      4.821e+01      5.912e+01      7.191e+01      8.045e+01      
2.500e-02      1.164e+01      1.793e+01      3.049e+01      4.132e+01      4.821e+01      5.912e+01      7.192e+01      8.045e+01      
3.000e-02      1.185e+01      1.832e+01      3.053e+01      4.130e+01      4.825e+01      5.912e+01      7.191e+01      8.043e+01      
3.500e-02      1.193e+01      1.761e+01      3.045e+01      4.128e+01      4.831e+01      5.914e+01      7.192e+01      8.045e+01      
4.000e-02      7.012e+00      1.745e+01      3.046e+01      4.129e+01      4.834e+01      5.915e+01      7.194e+01      8.039e+01      
4.500e-02      5.370e+00      1.744e+01      3.052e+01      4.130e+01      4.833e+01      5.914e+01      7.194e+01      8.041e+01      
5.000e-02      7.090e+00      1.792e+01      3.047e+01      4.130e+01      4.831e+01      5.914e+01      7.195e+01      8.039e+01      
