resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.071e+01      1.815e+01      2.593e+01      3.767e+01      5.336e+01      1.117e+01      6.326e+01      7.138e+01      7.447e+01      
2.000e-03      1.198e+01      1.816e+01      2.596e+01      3.620e+01      5.165e+01      6.940e+00      6.173e+01      6.969e+01      5.758e+01      
5.000e-03      9.156e+00      1.814e+01      2.599e+01      3.612e+01      5.338e+01      7.031e+00      6.327e+01      6.981e+01      7.063e+01      
8.000e-03      9.105e+00      1.814e+01      2.290e+01      3.615e+01      5.341e+01      7.050e+00      6.335e+01      7.092e+01      7.223e+01      
1.000e-02      9.098e+00      1.809e+01      2.287e+01      3.616e+01      5.340e+01      7.031e+00      6.330e+01      7.138e+01      7.320e+01      
1.500e-02      9.040e+00      1.812e+01      2.286e+01      3.618e+01      5.342e+01      7.050e+00      6.333e+01      7.140e+01      7.449e+01      
2.000e-02      9.079e+00      1.781e+01      2.287e+01      3.630e+01      5.148e+01      6.979e+00      6.336e+01      7.143e+01      7.446e+01      
2.500e-02      9.150e+00      1.780e+01      2.297e+01      3.626e+01      5.142e+01      7.018e+00      6.336e+01      7.145e+01      7.450e+01      
3.000e-02      9.409e+00      1.781e+01      2.304e+01      3.624e+01      5.138e+01      6.973e+00      6.336e+01      7.140e+01      7.447e+01      
3.500e-02      9.642e+00      1.773e+01      2.307e+01      3.629e+01      5.139e+01      9.675e+00      6.339e+01      7.142e+01      7.444e+01      
4.000e-02      9.759e+00      1.750e+01      2.304e+01      3.812e+01      5.140e+01      9.837e+00      6.342e+01      7.145e+01      7.449e+01      
4.500e-02      9.856e+00      1.724e+01      2.587e+01      3.822e+01      5.136e+01      1.010e+01      6.347e+01      7.146e+01      7.446e+01      
5.000e-02      1.008e+01      1.718e+01      2.608e+01      3.832e+01      5.300e+01      1.030e+01      6.351e+01      7.142e+01      7.451e+01      
