resolution    W100Cr0       W90Cr10       W70Cr30       W50Cr50       W30Cr70       W10Cr90       W0Cr100       
0.000e+00      0.000e+00      1.546e-01      3.066e-01      5.040e-01      7.169e-01      9.022e-01      9.993e-01      
8.000e-04      1.754e-02      1.594e-01      3.173e-01      4.949e-01      6.986e-01      9.017e-01      9.997e-01      
1.000e-03      1.736e-02      1.587e-01      3.166e-01      4.956e-01      6.986e-01      9.017e-01      9.997e-01      
2.000e-03      9.510e-03      1.458e-01      3.034e-01      4.906e-01      6.946e-01      8.989e-01      9.997e-01      
5.000e-03      3.257e-03      1.289e-01      2.929e-01      4.881e-01      6.995e-01      9.019e-01      9.994e-01      
8.000e-03      4.046e-04      1.182e-01      3.022e-01      4.976e-01      7.026e-01      9.028e-01      9.990e-01      
1.000e-02      3.474e-05      1.171e-01      3.113e-01      5.076e-01      7.064e-01      9.026e-01      9.986e-01      
1.200e-02      0.000e+00      1.182e-01      3.195e-01      5.153e-01      7.101e-01      9.023e-01      9.979e-01      
1.500e-02      0.000e+00      1.213e-01      3.288e-01      5.230e-01      7.136e-01      9.014e-01      9.958e-01      
2.000e-02      0.000e+00      1.258e-01      3.352e-01      5.293e-01      7.139e-01      8.970e-01      9.887e-01      
2.500e-02      0.000e+00      1.287e-01      3.363e-01      5.298e-01      7.094e-01      8.889e-01      9.779e-01      
3.000e-02      0.000e+00      1.303e-01      3.350e-01      5.260e-01      7.012e-01      8.769e-01      9.634e-01      
3.500e-02      0.000e+00      1.310e-01      3.320e-01      5.184e-01      6.893e-01      8.608e-01      9.449e-01      
