resolution    W0Cr100       W100Cr0       W10Cr90       W30Cr70       W50Cr50       W60Cr40       W70Cr30       W90Cr10       
0.000e+00      9.993e-01      0.000e+00      9.022e-01      7.169e-01      5.040e-01      3.915e-01      3.066e-01      1.546e-01      
2.000e-03      9.997e-01      1.117e-02      9.065e-01      7.126e-01      5.124e-01      4.124e-01      3.220e-01      1.573e-01      
5.000e-03      9.995e-01      4.141e-03      9.093e-01      7.174e-01      5.096e-01      3.976e-01      3.106e-01      1.391e-01      
8.000e-03      9.991e-01      7.103e-04      9.101e-01      7.200e-01      5.172e-01      3.980e-01      3.191e-01      1.273e-01      
1.000e-02      9.987e-01      1.483e-04      9.097e-01      7.233e-01      5.266e-01      4.029e-01      3.279e-01      1.259e-01      
1.500e-02      9.961e-01      0.000e+00      9.083e-01      7.293e-01      5.412e-01      4.192e-01      3.445e-01      1.297e-01      
2.000e-02      9.896e-01      0.000e+00      9.039e-01      7.290e-01      5.469e-01      4.271e-01      3.500e-01      1.342e-01      
2.500e-02      9.797e-01      0.000e+00      8.961e-01      7.242e-01      5.468e-01      4.299e-01      3.507e-01      1.370e-01      
3.000e-02      9.667e-01      0.000e+00      8.846e-01      7.158e-01      5.423e-01      4.287e-01      3.489e-01      1.384e-01      
3.500e-02      9.504e-01      0.000e+00      8.690e-01      7.038e-01      5.341e-01      4.240e-01      3.452e-01      1.387e-01      
4.000e-02      9.325e-01      0.000e+00      8.512e-01      6.900e-01      5.238e-01      4.174e-01      3.401e-01      1.383e-01      
4.500e-02      9.129e-01      0.000e+00      8.310e-01      6.742e-01      5.114e-01      4.089e-01      3.337e-01      1.373e-01      
5.000e-02      8.925e-01      0.000e+00      8.088e-01      6.569e-01      4.977e-01      3.992e-01      3.261e-01      1.358e-01      
